start_date	end_date	session_time	cycleId
2024-11-11 11:57:55.586211	 2024-11-11 12:09:19.001307	 683.415096	 625.0
2024-11-11 12:09:19.001307	 2024-11-11 12:20:42.451861	 683.450554	 626.0
2024-11-11 12:20:42.451861	 2024-11-11 12:32:05.704144	 683.252283	 627.0
2024-11-11 12:32:05.704144	 2024-11-11 12:43:29.089794	 683.38565	 628.0
2024-11-11 12:43:29.089794	 2024-11-11 12:54:52.701572	 683.611778	 629.0
2024-11-11 12:54:52.701572	 2024-11-11 13:06:15.915034	 683.213462	 630.0
2024-11-11 13:06:15.915034	 2024-11-11 13:17:39.407504	 683.49247	 631.0
2024-11-11 13:17:39.407504	 2024-11-11 13:29:02.783810	 683.376306	 632.0
2024-11-11 13:29:02.783810	 2024-11-11 13:40:26.031469	 683.247659	 633.0
2024-11-11 13:40:26.031469	 2024-11-11 13:51:49.668328	 683.636859	 634.0
2024-11-11 13:51:49.668328	 2024-11-11 14:03:13.086223	 683.417895	 635.0
2024-11-11 14:03:13.086223	 2024-11-11 14:14:36.322906	 683.236683	 636.0
2024-11-11 14:14:36.322906	 2024-11-11 14:25:59.834522	 683.511616	 637.0
2024-11-11 14:25:59.834522	 2024-11-11 14:37:22.998965	 683.164443	 638.0
2024-11-11 14:37:22.998965	 2024-11-11 14:48:46.452946	 683.453981	 639.0
2024-11-11 14:48:46.452946	 2024-11-11 15:00:09.899127	 683.446181	 640.0
2024-11-11 15:00:09.899127	 2024-11-11 15:11:33.465198	 683.566071	 641.0
2024-11-11 15:11:33.465198	 2024-11-11 15:22:56.686197	 683.220999	 642.0
2024-11-11 15:22:56.686197	 2024-11-11 15:34:20.018233	 683.332036	 643.0
2024-11-11 15:34:20.018233	 2024-11-11 15:45:43.328197	 683.309964	 644.0
2024-11-11 15:45:43.328197	 2024-11-11 15:57:06.809031	 683.480834	 645.0
2024-11-11 15:57:06.809031	 2024-11-11 16:08:30.292572	 683.483541	 646.0
2024-11-11 16:08:30.292572	 2024-11-11 16:19:53.851344	 683.558772	 647.0
2024-11-11 16:19:53.851344	 2024-11-11 16:31:17.293089	 683.441745	 648.0
2024-11-11 16:31:17.293089	 2024-11-11 16:42:40.518853	 683.225764	 649.0
2024-11-11 16:42:40.518853	 2024-11-11 16:54:03.813874	 683.295021	 650.0
2024-11-11 16:54:03.813874	 2024-11-11 17:05:27.188680	 683.374806	 651.0
2024-11-11 17:05:27.188680	 2024-11-11 17:16:50.621767	 683.433087	 652.0
2024-11-11 17:16:50.621767	 2024-11-11 17:28:13.883494	 683.261727	 653.0
2024-11-11 17:28:13.883494	 2024-11-11 17:39:37.437032	 683.553538	 654.0
2024-11-11 17:39:37.437032	 2024-11-11 17:51:00.914857	 683.477825	 655.0
2024-11-11 17:51:00.914857	 2024-11-11 18:02:24.226183	 683.311326	 656.0
2024-11-11 18:02:24.226183	 2024-11-11 18:13:47.586624	 683.360441	 657.0
2024-11-11 18:13:47.586624	 2024-11-11 18:25:11.004018	 683.417394	 658.0
2024-11-11 18:25:11.004018	 2024-11-11 18:36:34.460452	 683.456434	 659.0
2024-11-11 18:36:34.460452	 2024-11-11 18:47:58.046161	 683.585709	 660.0
2024-11-11 18:47:58.046161	 2024-11-11 18:59:21.276101	 683.22994	 661.0
2024-11-11 18:59:21.276101	 2024-11-11 19:10:44.555165	 683.279064	 662.0
2024-11-11 19:10:44.555165	 2024-11-11 19:22:08.144590	 683.589425	 663.0
2024-11-11 19:22:08.144590	 2024-11-11 19:33:31.588395	 683.443805	 664.0
2024-11-11 19:33:31.588395	 2024-11-11 19:44:54.965548	 683.377153	 665.0
2024-11-11 19:44:54.965548	 2024-11-11 19:56:18.110641	 683.145093	 666.0
